Timestamp,Room,X Ref,Y Ref,W Ref,BSSID,SSID,RSSI,Channel
17:13.2,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-73,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:57,,-73,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:56,,-72,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-72,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-72,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-75,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-76,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-76,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-76,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:57,,-76,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:56,,-75,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-76,6
17:14.4,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-77,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:57,,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:56,,-74,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-72,6
17:15.6,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-72,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-75,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-75,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-75,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-75,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:57,,-76,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:56,,-76,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-75,6
17:16.8,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-75,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-71,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-72,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-71,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-73,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:57,,-72,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:56,,-73,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-73,6
17:18.0,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-72,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-72,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-73,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-73,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-74,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:57,,-71,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:56,,-72,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-72,6
17:19.2,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-73,6
17:20.4,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-75,6
17:20.4,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-83,6
